user_id,item_id,event,rating,timestamp
u0127,r0042,view,,2024-03-07T02:58:30Z
u0049,r0020,view,,2024-03-07T04:42:28Z
u0146,r0039,view,,2024-03-07T05:12:15Z
u0189,r0020,view,,2024-03-07T06:24:30Z
u0145,r0070,save,,2024-03-07T08:18:34Z
u0063,r0086,save,,2024-03-07T08:43:41Z
u0127,r0075,view,,2024-03-07T09:19:17Z
u0029,r0069,view,,2024-03-07T12:52:17Z
u0117,r0073,view,,2024-03-07T15:09:12Z
u0094,r0018,view,,2024-03-07T15:38:29Z
u0210,r0011,visit,4.2,2024-03-07T16:32:59Z
u0134,r0003,view,,2024-03-07T16:51:22Z
u0220,r0022,view,,2024-03-07T18:52:00Z
u0160,r0049,view,,2024-03-07T19:35:03Z
u0132,r0089,save,,2024-03-07T20:53:53Z
u0126,r0010,save,,2024-03-07T21:00:22Z
u0188,r0050,save,,2024-03-08T02:04:25Z
u0078,r0007,save,,2024-03-08T08:48:59Z
u0086,r0069,view,,2024-03-08T09:25:38Z
u0155,r0073,save,,2024-03-08T10:33:00Z
u0205,r0082,view,,2024-03-08T15:22:22Z
u0088,r0086,view,,2024-03-08T16:01:29Z
u0103,r0063,visit,4.2,2024-03-08T16:09:19Z
u0163,r0008,save,,2024-03-08T16:58:51Z
u0200,r0072,save,,2024-03-08T17:23:42Z
u0214,r0010,visit,5.0,2024-03-08T18:08:44Z
u0062,r0040,save,,2024-03-08T20:25:59Z
u0047,r0067,view,,2024-03-08T21:30:01Z
u0106,r0071,view,,2024-03-09T01:06:39Z
u0040,r0047,save,,2024-03-09T01:31:37Z
u0212,r0013,save,,2024-03-09T01:32:11Z
u0121,r0075,view,,2024-03-09T06:52:23Z
u0010,r0085,view,,2024-03-09T07:57:37Z
u0094,r0045,visit,4.1,2024-03-09T10:15:44Z
u0068,r0087,save,,2024-03-09T11:28:59Z
u0047,r0008,view,,2024-03-09T13:43:32Z
u0162,r0057,visit,3.5,2024-03-09T15:10:57Z
u0014,r0093,view,,2024-03-09T16:56:50Z
u0087,r0060,save,,2024-03-09T18:50:32Z
u0125,r0092,visit,3.6,2024-03-09T19:16:58Z
u0081,r0057,save,,2024-03-09T20:51:41Z
u0220,r0047,view,,2024-03-09T23:50:08Z
u0201,r0002,view,,2024-03-10T00:57:49Z
u0100,r0017,view,,2024-03-10T03:57:26Z
u0113,r0075,visit,4.7,2024-03-10T04:36:18Z
u0155,r0072,view,,2024-03-10T07:45:35Z
u0042,r0056,view,,2024-03-10T12:20:17Z
u0140,r0027,view,,2024-03-10T12:54:44Z
u0219,r0037,save,,2024-03-10T13:03:32Z
u0188,r0080,visit,4.2,2024-03-10T14:44:03Z
u0143,r0050,view,,2024-03-10T15:34:24Z
u0049,r0033,view,,2024-03-10T18:15:26Z
u0056,r0078,save,,2024-03-10T22:02:00Z
u0168,r0027,save,,2024-03-10T23:01:26Z
u0040,r0094,visit,4.1,2024-03-11T04:11:49Z
u0194,r0067,save,,2024-03-11T08:18:15Z
u0042,r0003,save,,2024-03-11T11:21:31Z
u0148,r0055,save,,2024-03-11T11:29:42Z
u0020,r0037,visit,4.3,2024-03-11T12:47:32Z
u0050,r0009,visit,3.3,2024-03-11T14:10:29Z
u0047,r0057,view,,2024-03-11T15:56:10Z
u0122,r0080,view,,2024-03-11T16:18:25Z
u0193,r0053,save,,2024-03-11T17:48:31Z
u0211,r0024,view,,2024-03-11T22:54:34Z
u0011,r0038,view,,2024-03-12T01:01:35Z
u0050,r0031,view,,2024-03-12T05:20:37Z
u0054,r0017,view,,2024-03-12T06:29:54Z
u0124,r0028,view,,2024-03-12T06:40:31Z
u0139,r0085,view,,2024-03-12T07:34:05Z
u0033,r0063,save,,2024-03-12T08:34:34Z
u0095,r0082,view,,2024-03-12T11:07:44Z
u0084,r0063,visit,4.9,2024-03-12T12:58:29Z
u0130,r0073,save,,2024-03-12T14:04:03Z
u0067,r0088,view,,2024-03-12T15:39:20Z
u0157,r0057,save,,2024-03-12T16:15:41Z
u0125,r0072,save,,2024-03-12T17:24:55Z
u0207,r0029,visit,4.2,2024-03-12T19:20:17Z
u0010,r0006,view,,2024-03-13T00:23:42Z
u0181,r0025,visit,4.6,2024-03-13T01:20:27Z
u0217,r0087,visit,4.1,2024-03-13T01:58:40Z
u0179,r0076,visit,3.8,2024-03-13T02:13:27Z
u0140,r0073,view,,2024-03-13T02:51:13Z
u0045,r0078,view,,2024-03-13T05:54:12Z
u0200,r0055,view,,2024-03-13T07:40:27Z
u0012,r0008,view,,2024-03-13T08:51:03Z
u0218,r0008,visit,4.1,2024-03-13T09:12:25Z
u0039,r0085,save,,2024-03-13T09:51:00Z
u0044,r0022,view,,2024-03-13T10:36:16Z
u0138,r0043,visit,4.2,2024-03-13T11:31:07Z
u0184,r0041,visit,3.4,2024-03-13T14:26:40Z
u0197,r0063,visit,4.5,2024-03-13T15:17:35Z
u0035,r0014,view,,2024-03-13T19:47:31Z
u0144,r0039,view,,2024-03-13T22:34:28Z
u0008,r0004,save,,2024-03-14T03:07:17Z
u0178,r0076,visit,5.0,2024-03-14T05:14:17Z
u0210,r0008,view,,2024-03-14T06:22:38Z
u0062,r0048,view,,2024-03-14T09:19:26Z
u0112,r0080,save,,2024-03-14T13:22:21Z
u0188,r0046,view,,2024-03-14T14:20:24Z
u0199,r0054,view,,2024-03-14T18:07:46Z
u0183,r0023,view,,2024-03-14T19:58:03Z
u0217,r0013,view,,2024-03-14T20:05:11Z
u0040,r0076,view,,2024-03-14T20:13:39Z
u0065,r0069,view,,2024-03-14T20:42:00Z
u0104,r0055,save,,2024-03-14T22:09:27Z
u0199,r0029,save,,2024-03-15T00:41:30Z
u0065,r0071,view,,2024-03-15T03:27:18Z
u0155,r0080,save,,2024-03-15T04:40:17Z
u0066,r0011,view,,2024-03-15T05:00:18Z
u0053,r0064,view,,2024-03-15T07:57:52Z
u0035,r0037,visit,4.5,2024-03-15T11:30:01Z
u0029,r0049,view,,2024-03-15T14:02:11Z
u0075,r0011,view,,2024-03-15T18:07:03Z
u0171,r0031,save,,2024-03-16T01:16:12Z
u0018,r0074,view,,2024-03-16T03:03:36Z
u0064,r0059,visit,4.0,2024-03-16T03:23:02Z
u0186,r0002,view,,2024-03-16T04:39:56Z
u0017,r0052,save,,2024-03-16T06:07:50Z
u0004,r0065,view,,2024-03-16T11:31:57Z
u0156,r0016,save,,2024-03-16T11:37:03Z
u0133,r0070,visit,3.7,2024-03-16T13:40:00Z
u0188,r0039,save,,2024-03-16T14:32:11Z
u0190,r0026,save,,2024-03-16T17:30:26Z
u0187,r0022,visit,3.8,2024-03-16T19:46:22Z
u0132,r0003,visit,4.3,2024-03-16T19:54:21Z
u0130,r0070,view,,2024-03-17T00:18:27Z
u0048,r0086,visit,4.9,2024-03-17T00:50:30Z
u0076,r0057,save,,2024-03-17T01:30:13Z
u0202,r0048,view,,2024-03-17T03:47:38Z
u0056,r0035,save,,2024-03-17T06:54:26Z
u0176,r0023,view,,2024-03-17T07:45:57Z
u0215,r0076,save,,2024-03-17T11:32:24Z
u0015,r0031,save,,2024-03-17T12:20:09Z
u0009,r0080,save,,2024-03-17T19:28:12Z
u0190,r0053,save,,2024-03-17T20:51:44Z
u0189,r0010,visit,4.0,2024-03-17T22:54:55Z
u0047,r0085,view,,2024-03-18T00:08:00Z
u0088,r0042,view,,2024-03-18T01:19:20Z
u0039,r0025,view,,2024-03-18T03:20:29Z
u0180,r0005,view,,2024-03-18T06:26:34Z
u0109,r0010,view,,2024-03-18T09:10:20Z
u0025,r0078,save,,2024-03-18T11:11:36Z
u0065,r0064,view,,2024-03-18T12:59:40Z
u0206,r0073,save,,2024-03-18T14:16:32Z
u0179,r0023,visit,3.7,2024-03-18T14:20:21Z
u0017,r0044,save,,2024-03-18T19:22:30Z
u0126,r0008,save,,2024-03-18T19:24:30Z
u0097,r0072,save,,2024-03-19T04:03:38Z
u0216,r0017,view,,2024-03-19T04:34:07Z
u0154,r0026,visit,4.6,2024-03-19T04:37:55Z
u0163,r0052,view,,2024-03-19T06:08:38Z
u0053,r0094,visit,3.8,2024-03-19T07:32:47Z
u0059,r0066,view,,2024-03-19T12:01:54Z
u0144,r0007,view,,2024-03-19T14:19:06Z
u0036,r0077,save,,2024-03-19T15:36:07Z
u0148,r0036,visit,4.1,2024-03-19T16:13:54Z
u0053,r0037,visit,4.0,2024-03-19T16:57:03Z
u0199,r0030,view,,2024-03-19T17:04:32Z
u0117,r0047,view,,2024-03-19T17:06:58Z
u0217,r0001,save,,2024-03-19T17:46:15Z
u0029,r0044,visit,4.9,2024-03-19T19:18:13Z
u0178,r0065,view,,2024-03-19T19:53:46Z
u0026,r0029,save,,2024-03-19T20:27:49Z
u0042,r0074,view,,2024-03-19T23:00:50Z
u0191,r0032,view,,2024-03-19T23:05:49Z
u0051,r0060,view,,2024-03-19T23:34:53Z
u0195,r0036,visit,5.0,2024-03-20T01:33:19Z
u0109,r0032,view,,2024-03-20T02:06:22Z
u0181,r0035,save,,2024-03-20T04:14:20Z
u0052,r0072,view,,2024-03-20T04:19:24Z
u0027,r0057,visit,5.0,2024-03-20T08:20:23Z
u0092,r0085,view,,2024-03-20T09:28:39Z
u0061,r0008,view,,2024-03-20T10:54:04Z
u0181,r0022,save,,2024-03-20T11:49:50Z
u0195,r0043,view,,2024-03-20T14:28:47Z
u0008,r0069,view,,2024-03-20T17:30:30Z
u0157,r0037,view,,2024-03-20T17:52:24Z
u0062,r0080,save,,2024-03-20T18:31:23Z
u0124,r0023,save,,2024-03-20T19:00:50Z
u0085,r0009,view,,2024-03-20T19:39:38Z
u0141,r0085,view,,2024-03-20T19:49:34Z
u0031,r0070,view,,2024-03-21T02:49:40Z
u0208,r0073,view,,2024-03-21T03:12:45Z
u0168,r0083,view,,2024-03-21T04:08:10Z
u0004,r0087,visit,4.2,2024-03-21T05:13:32Z
u0191,r0040,view,,2024-03-21T14:57:13Z
u0209,r0082,view,,2024-03-21T15:30:49Z
u0050,r0004,view,,2024-03-21T18:43:47Z
u0038,r0053,view,,2024-03-21T21:38:02Z
u0179,r0081,visit,4.6,2024-03-22T02:01:48Z
u0155,r0008,view,,2024-03-22T04:18:49Z
u0170,r0003,view,,2024-03-22T04:32:04Z
u0056,r0008,view,,2024-03-22T07:55:19Z
u0119,r0008,visit,4.3,2024-03-22T09:27:05Z
u0007,r0005,view,,2024-03-22T11:20:30Z
u0193,r0072,visit,4.0,2024-03-22T12:48:02Z
u0049,r0057,view,,2024-03-22T13:15:45Z
u0217,r0069,view,,2024-03-22T14:09:58Z
u0133,r0042,view,,2024-03-22T14:40:23Z
u0113,r0004,view,,2024-03-22T15:11:32Z
u0089,r0073,save,,2024-03-22T17:33:31Z
u0110,r0006,save,,2024-03-22T19:04:35Z
u0020,r0083,visit,4.3,2024-03-22T21:39:49Z
u0023,r0075,view,,2024-03-22T22:22:07Z
u0040,r0014,visit,3.7,2024-03-22T22:55:32Z
u0092,r0008,view,,2024-03-22T23:02:06Z
u0132,r0023,visit,4.3,2024-03-23T02:17:43Z
u0151,r0094,view,,2024-03-23T06:27:24Z
u0002,r0071,view,,2024-03-23T09:07:56Z
u0114,r0064,view,,2024-03-23T09:12:01Z
u0217,r0009,save,,2024-03-23T09:15:35Z
u0203,r0046,save,,2024-03-23T10:16:59Z
u0159,r0030,view,,2024-03-23T15:44:07Z
u0119,r0083,visit,5.0,2024-03-23T16:24:24Z
u0051,r0041,visit,4.7,2024-03-24T00:30:37Z
u0216,r0025,view,,2024-03-24T03:39:43Z
u0084,r0029,view,,2024-03-24T04:33:25Z
u0142,r0067,save,,2024-03-24T06:42:22Z
u0146,r0062,save,,2024-03-24T08:27:21Z
u0026,r0088,visit,4.2,2024-03-24T10:48:44Z
u0126,r0070,visit,5.0,2024-03-24T12:15:43Z
u0139,r0011,visit,3.8,2024-03-24T13:53:32Z
u0119,r0015,save,,2024-03-24T16:59:52Z
u0061,r0055,view,,2024-03-24T19:21:26Z
u0048,r0043,view,,2024-03-25T01:38:15Z
u0208,r0080,view,,2024-03-25T05:22:11Z
u0144,r0025,save,,2024-03-25T06:13:10Z
u0042,r0054,save,,2024-03-25T17:14:49Z
u0130,r0064,visit,5.0,2024-03-25T17:49:56Z
u0035,r0041,save,,2024-03-26T03:03:42Z
u0072,r0066,view,,2024-03-26T06:59:41Z
u0005,r0034,view,,2024-03-26T08:29:13Z
u0170,r0092,visit,3.5,2024-03-26T13:04:57Z
u0024,r0024,visit,3.9,2024-03-26T14:53:57Z
u0157,r0076,view,,2024-03-26T14:58:56Z
u0013,r0032,save,,2024-03-26T15:44:17Z
u0124,r0035,view,,2024-03-26T21:10:12Z
u0111,r0057,save,,2024-03-27T01:22:25Z
u0102,r0026,view,,2024-03-27T02:53:05Z
u0071,r0019,view,,2024-03-27T03:27:31Z
u0158,r0031,view,,2024-03-27T05:58:27Z
u0007,r0083,view,,2024-03-27T06:43:14Z
u0179,r0042,save,,2024-03-27T09:50:57Z
u0063,r0038,view,,2024-03-27T12:38:09Z
u0032,r0038,visit,4.9,2024-03-27T13:22:22Z
